2024-03-09 13:24:41.223 [main] TRACE dev.cisnux.logging.LevelTest - Trace
2024-03-09 13:24:41.224 [main] DEBUG dev.cisnux.logging.LevelTest - Debug
2024-03-09 13:24:41.224 [main] INFO  dev.cisnux.logging.LevelTest - Info
2024-03-09 13:36:28.415 [Thread-6] INFO  dev.cisnux.logging.MyRepository - [d793879b-94e7-4542-afaa-dc35b142e1b8] - Repository Save
2024-03-09 13:36:28.414 [Thread-0] INFO  dev.cisnux.logging.MyRepository - [7d1295c9-fc61-418f-b105-ecd3a88a4f81] - Repository Save
2024-03-09 13:36:28.412 [Thread-4] INFO  dev.cisnux.logging.MyController - [cffad7be-a5bf-44ea-a3da-0be8929dbda9] - Controller Save
2024-03-09 13:36:28.414 [Thread-9] INFO  dev.cisnux.logging.MyService - [2cf628b0-efcf-4ac2-9e0f-019da8df07af] - Service Save
2024-03-09 13:36:28.414 [Thread-7] INFO  dev.cisnux.logging.MyRepository - [ce373293-b3e3-41fc-af13-2f3c7dad5eda] - Repository Save
2024-03-09 13:36:28.415 [Thread-9] INFO  dev.cisnux.logging.MyRepository - [2cf628b0-efcf-4ac2-9e0f-019da8df07af] - Repository Save
2024-03-09 13:36:28.414 [Thread-2] INFO  dev.cisnux.logging.MyService - [3ecb860c-3dd5-4bd2-8ce8-40045d50a23f] - Service Save
2024-03-09 13:36:28.415 [Thread-4] INFO  dev.cisnux.logging.MyService - [cffad7be-a5bf-44ea-a3da-0be8929dbda9] - Service Save
2024-03-09 13:36:28.415 [Thread-2] INFO  dev.cisnux.logging.MyRepository - [3ecb860c-3dd5-4bd2-8ce8-40045d50a23f] - Repository Save
2024-03-09 13:36:28.416 [Thread-4] INFO  dev.cisnux.logging.MyRepository - [cffad7be-a5bf-44ea-a3da-0be8929dbda9] - Repository Save
2024-03-09 13:38:34.605 [Thread-5] INFO  dev.cisnux.logging.MyController - [13a06dd2-2b71-4df4-b9c4-09c429d86b7a] - Controller Save
2024-03-09 13:38:34.605 [Thread-1] INFO  dev.cisnux.logging.MyController - [83f146bd-48b1-4a64-b3a4-199b59e8ba33] - Controller Save
2024-03-09 13:38:34.605 [Thread-2] INFO  dev.cisnux.logging.MyController - [9221f5c8-be1e-409f-bade-258a263790f2] - Controller Save
2024-03-09 13:38:34.605 [Thread-6] INFO  dev.cisnux.logging.MyController - [7703ab74-696a-4e5b-ab5a-512ec386dfb3] - Controller Save
2024-03-09 13:38:34.607 [Thread-6] INFO  dev.cisnux.logging.MyService - [7703ab74-696a-4e5b-ab5a-512ec386dfb3] - Service Save
2024-03-09 13:38:34.607 [Thread-6] INFO  dev.cisnux.logging.MyRepository - [7703ab74-696a-4e5b-ab5a-512ec386dfb3] - Repository Save
2024-03-09 13:38:34.605 [Thread-7] INFO  dev.cisnux.logging.MyController - [e5229018-8e64-4d52-89fe-a97b302d3b0b] - Controller Save
2024-03-09 13:38:34.608 [Thread-7] INFO  dev.cisnux.logging.MyService - [e5229018-8e64-4d52-89fe-a97b302d3b0b] - Service Save
2024-03-09 13:38:34.605 [Thread-0] INFO  dev.cisnux.logging.MyController - [dfa5042b-e713-422e-a04b-db7f82ab14ad] - Controller Save
2024-03-09 13:38:34.608 [Thread-7] INFO  dev.cisnux.logging.MyRepository - [e5229018-8e64-4d52-89fe-a97b302d3b0b] - Repository Save
2024-03-09 13:38:34.605 [Thread-3] INFO  dev.cisnux.logging.MyController - [7951bf47-ddfe-4922-8004-e405e027de1e] - Controller Save
2024-03-09 13:38:34.605 [Thread-9] INFO  dev.cisnux.logging.MyController - [206f908d-fce9-47ed-aed9-7584edcac4df] - Controller Save
2024-03-09 13:38:34.608 [Thread-9] INFO  dev.cisnux.logging.MyService - [206f908d-fce9-47ed-aed9-7584edcac4df] - Service Save
2024-03-09 13:38:34.608 [Thread-9] INFO  dev.cisnux.logging.MyRepository - [206f908d-fce9-47ed-aed9-7584edcac4df] - Repository Save
2024-03-09 13:38:34.605 [Thread-8] INFO  dev.cisnux.logging.MyController - [5b741a2c-0411-458d-81dc-2fc8a2b9d2ec] - Controller Save
2024-03-09 13:38:34.608 [Thread-8] INFO  dev.cisnux.logging.MyService - [5b741a2c-0411-458d-81dc-2fc8a2b9d2ec] - Service Save
2024-03-09 13:38:34.605 [Thread-4] INFO  dev.cisnux.logging.MyController - [a05e70b9-ff10-4dfd-9d8b-9fd7f45e4353] - Controller Save
2024-03-09 13:38:34.607 [Thread-1] INFO  dev.cisnux.logging.MyService - [83f146bd-48b1-4a64-b3a4-199b59e8ba33] - Service Save
2024-03-09 13:38:34.608 [Thread-4] INFO  dev.cisnux.logging.MyService - [a05e70b9-ff10-4dfd-9d8b-9fd7f45e4353] - Service Save
2024-03-09 13:38:34.608 [Thread-4] INFO  dev.cisnux.logging.MyRepository - [a05e70b9-ff10-4dfd-9d8b-9fd7f45e4353] - Repository Save
2024-03-09 13:38:34.607 [Thread-2] INFO  dev.cisnux.logging.MyService - [9221f5c8-be1e-409f-bade-258a263790f2] - Service Save
2024-03-09 13:38:34.608 [Thread-1] INFO  dev.cisnux.logging.MyRepository - [83f146bd-48b1-4a64-b3a4-199b59e8ba33] - Repository Save
2024-03-09 13:38:34.607 [Thread-5] INFO  dev.cisnux.logging.MyService - [13a06dd2-2b71-4df4-b9c4-09c429d86b7a] - Service Save
2024-03-09 13:38:34.608 [Thread-2] INFO  dev.cisnux.logging.MyRepository - [9221f5c8-be1e-409f-bade-258a263790f2] - Repository Save
2024-03-09 13:38:34.609 [Thread-5] INFO  dev.cisnux.logging.MyRepository - [13a06dd2-2b71-4df4-b9c4-09c429d86b7a] - Repository Save
2024-03-09 13:38:34.608 [Thread-0] INFO  dev.cisnux.logging.MyService - [dfa5042b-e713-422e-a04b-db7f82ab14ad] - Service Save
2024-03-09 13:38:34.609 [Thread-0] INFO  dev.cisnux.logging.MyRepository - [dfa5042b-e713-422e-a04b-db7f82ab14ad] - Repository Save
2024-03-09 13:38:34.608 [Thread-3] INFO  dev.cisnux.logging.MyService - [7951bf47-ddfe-4922-8004-e405e027de1e] - Service Save
2024-03-09 13:38:34.609 [Thread-3] INFO  dev.cisnux.logging.MyRepository - [7951bf47-ddfe-4922-8004-e405e027de1e] - Repository Save
2024-03-09 13:38:34.608 [Thread-8] INFO  dev.cisnux.logging.MyRepository - [5b741a2c-0411-458d-81dc-2fc8a2b9d2ec] - Repository Save
2024-03-09 13:45:23.138 [Thread-0] INFO  dev.cisnux.logging.MyController - [65052895-1a65-4251-ae1c-3b64a5c638e3] - Controller Save
2024-03-09 13:45:23.140 [Thread-0] INFO  dev.cisnux.logging.MyService - [65052895-1a65-4251-ae1c-3b64a5c638e3] - Service Save
2024-03-09 13:45:23.140 [Thread-0] INFO  dev.cisnux.logging.MyRepository - [65052895-1a65-4251-ae1c-3b64a5c638e3] - Repository Save
2024-03-09 13:45:23.141 [Thread-1] INFO  dev.cisnux.logging.MyController - [10479bfe-083a-46b5-9105-cdcb9a614e1a] - Controller Save
2024-03-09 13:45:23.141 [Thread-1] INFO  dev.cisnux.logging.MyService - [10479bfe-083a-46b5-9105-cdcb9a614e1a] - Service Save
2024-03-09 13:45:23.141 [Thread-1] INFO  dev.cisnux.logging.MyRepository - [10479bfe-083a-46b5-9105-cdcb9a614e1a] - Repository Save
2024-03-09 13:45:23.142 [Thread-2] INFO  dev.cisnux.logging.MyController - [c4753f22-706d-4d44-a341-f25aa40f83f6] - Controller Save
2024-03-09 13:45:23.142 [Thread-2] INFO  dev.cisnux.logging.MyService - [c4753f22-706d-4d44-a341-f25aa40f83f6] - Service Save
2024-03-09 13:45:23.142 [Thread-2] INFO  dev.cisnux.logging.MyRepository - [c4753f22-706d-4d44-a341-f25aa40f83f6] - Repository Save
2024-03-09 13:45:23.142 [Thread-3] INFO  dev.cisnux.logging.MyController - [54a75341-a01a-4909-b18a-766b1e093c36] - Controller Save
